scientificName
Abrothrix
Acanthais
Acanthina
Acanthinucella
Acanthocladia
Acanthoclema
Acanthomyops
Acanthotrophon
Acrocheilus
Acrocnida
Acromyrmex
Acropora
Acroporidae
Actinonaias
Actinopterygii
Actinopyga
Acupalpus
Adocia
Aemalodera
Agonum
Agosia
Agriopoma
Akephorus
Akodon
Alasmidonta
Alcyonacea
Alismittina
Alitta
Alloscirtetica
Alternifenestella
Amara
Amblema
Amblycheila
Amblygnathus
Amblyosyllis
Ameghinomya
Amegilla
Amiantis
Ammobates
Amorphinopsis
Amphasia
Amphibia
Amphichondrius
Amphilepidida
Amphilimna
Amphiodia
Amphiophiura
Amphioplus
Amphipholis
Amphiura
Amphiuridae
Anchomenus
Andinomys
Aneides
Anillinus
Anisodactylus
Annelida
Anodonta
Anodontoides
Anomalocardia
Anoplolepis
Antho
Anthophora
Anthophorula
Anthozoa
Anthracospirifer
Antigona
Antiguastrea
Antillophyllia
Aonidella
Aonides
Apenes
Aphaenogaster
Aphrodina
Apidae
Apis
Apristus
Aquitanastraea
Arborimus
Archimedes
Archimedipora
Arcidens
Ardistomis
Artemisina
Arthropoda
Articulata
Arvicola
Asaphidion
Aspella
Aspidochirotida
Aspidoglossa
Aspiduriella
Astraea
Astreopora
Astrogorgia
Athrostichtus
Athyridida
Atranus
Atta
Attiliosa
Australonereis
Austrotrophon
Autolytus
Axinopalpus
Axinyssa
Azteca
Babelomurex
Baiomys
Barabattoia
Barbus
Bassina
Batrachoseps
Bebryce
Bedeva
Bembidion
Bembidium
Bivalvia
Bizetiella
Blackburnia
Boccardia
Boccardiella
Bohadschia
Bolitoglossa
Bombus
Bombus pyrobombus
Bombus subterraneobombus
Boreotrophon
Bothriopterus
Brachinus
Lophotrochozoa
Brachymyrmex
Brachynomada
Brachyponera
Brachysyllis
Brachythyrina
Bradycellus
Branchiosyllis
Brania
Braunsapis
Bryozoa

Caenogastropoda
Calathus
Calcitrapessa
Califostoma
Calleida
Callista
Callisthenes
Callithaca
Callocardia
Callpita
Calosoma
Calotrophon
Calva
Calybe
Camponotus
Campostoma
Carabidae
Carabus
Carassius
Carazziella
Cardiocondyla
Carebara
Caudata
Caulastraea
Cemolobus
Centris
Cephalotes
Cerapachys
Ceratina
Ceratocephale
Ceratonereis
Ceratostoma
Chalepogenus
Chalina
Chalinidae
Chalinula
Cheilonereis
Cheilostomata
Cheilostomatida
Chesatrophon
Chicomurex
Chicoreus
Chione
Chioneryx
Chionista
Chionopsis
Chlaenius
Cholaster
Chonetinella
Chonetinetes
Chordata
Choristodon
Chromoplexaura
Chrosomus
Cicindela
Ciocalypta
Circomphalus
Cladocora
Cladocroce
Cladophyllia
Claremontiella
Clathria
Clementia
Clinidium
Clinostomus
Clivina
Cnidaria
Coleoptera
Colliuris
Colpodes
Colpophyllia
Composita
Compsomyax
Conomyrma
Cooperella
Coralliophila
Cosnania
Costacallista
Crassilabrum
Cratacanthus
Crematogaster
Crenodonta
Cricetidae
Cryptostomata
Cryptostomida
Cyathomorpha
Cyclinella
Cyclonaias
Cyclotrachelus
Cylindera
Cylindronotum
Cymia
Cymindis
Cyphastrea
Cyphomyrmex
Cyprimeria
Cyprinella
Cyprinioidea
Cypriniformes
Cyprinus
Cyprogenia
Cyrtonaias
Cytherea
Defrancia
Deltoptila
Demospongiae
Dendrocia
Dengordonia
Dentatisyllis
Dermomurex
Desmognathus
Diadasia
Diadasina
Dicaelus
Dicathais
Dicheirotrichus
Dicheirus
Dicrostonyx
Dionda
Dioplosyllis
Diploastrea
Diplochaetus
Diplocheila
Diplocoenia
Diploria
Dipolydora
Discoderus
Dispio
Dolichoderus
Dolomys
Dordonophyllia
Dorylus
Dorymyrmex
Dosinia
Dosiniopsis
Dougaloplus
Dromius
Dromochorus
Dromus
Drupa
Drupella
Drupina
Dyoros
Dyschirius
Dyschirus
Echinochalina
Echinoclathria
Echinodermata
Echinopora
Eciton
Ecphora
Ectochoristites
Eirenura
Elaphropus
Elaphrus
Eligmodontia
Eliva
Ellipsaria
Ellipsoptera
Elliptio
Elliptoideus
Enallopora
Ensatina
Eolissochonetes
Eopaziella
Eothenomys
Epeolus
Epiclopus
Epigamia
Epioblasma
Epixenus
Eremapis
Ergalatax
Ericrocis
Ericymba
Erimystax
Erythrastrea
Eucera
Eucera xenoglossa
Eufriesea
Euglossa
Eugyra
Eulaema
Eunicea
Eunota
Eupleura
Euplexaura
Eurycea
Eurynia
Eurysyllis
Eusyllis
Exaerete
Exoglossum
Exogone
Exomalopsis
Fasciculatia
Favartia
Favia
Faviidae
Favites
Fenestella
Fenestellidae
Fenestrellina
Fenestrida
Flaventia
Florilegus
Forelius
Formica
Formicidae
Formicoxenus
Forreria
Frieseomelitta
Fusconaia
Fusella
Gaesischia
Gafrarium
Galerita
Gastrellarius
Gastropoda
Gemma
Geopinus
Geotrigona
Geoxus
Gila
Glebula
Globivenus
Gnamptogenys
Goniastrea
Gonidea
Gorgonacea
Gouldia
Gracilipurpura
Graomys
Grateloupia
Gymnolaemata
Gymnonereis
Gyrinophilus
Habropoda
Habroscelimorpha
Hadriania
Halichondria
Halichondrida
Halichondriidae
Haliclona
Hamiota
Hanetia
Haplosclerida
Haplosyllis
Harpalus
Haustellum
Haustrum
Hediste
Helluomorphoides
Hemidactylium
Hemismittoidea
Hemistena
